repository_normalized,url,source_count,source_catalogues,status
kotoba-lang/typed-decisions,https://github.com/kotoba-lang/typed-decisions,7,"[""RadRebelSam/awesome-jev"", ""daftAI2026/awesome-jev"", ""heyjunpenn/awesome-jev"", ""stainlu/awesome-jev"", ""thevibeworks/awesome-typesafe-jev"", ""wh000wh000/awesome-jev-live"", ""yzfly/awesome-jev-zh""]",unverified_outgoing_link_candidate
koushik890/jev-firewall,https://github.com/koushik890/jev-firewall,1,"[""hellogumbo/awesome-jev""]",unverified_outgoing_link_candidate
kouyamacreate/jevtetris,https://github.com/kouyamacreate/jevtetris,2,"[""daftAI2026/awesome-jev"", ""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
kraayenjon/awesome-jev-1,https://github.com/kraayenjon/awesome-jev-1,1,"[""Omrigotlieb/awesome-jev""]",unverified_outgoing_link_candidate
kristiandupont/kanel,https://github.com/kristiandupont/kanel,1,"[""jellydn/awesome-typesafe""]",unverified_outgoing_link_candidate
krlmrr/dotfiles,https://github.com/krlmrr/dotfiles,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
krsna-smnt/jev-moral-dilemmas,https://github.com/krsna-smnt/jev-moral-dilemmas,1,"[""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
krushideep/worldtour,https://github.com/krushideep/worldtour,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
krw82/jev-playwright-mcp,https://github.com/krw82/jev-playwright-mcp,6,"[""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
krzysztofstaron/jev-experiments,https://github.com/krzysztofstaron/jev-experiments,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
krzyzanowskim/typesafe,https://github.com/krzyzanowskim/typesafe,7,"[""AppitStudio/awesome-jev"", ""KennethAshley/awesome-jev"", ""Li-Evan/awesome-jev"", ""MrJev/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
ksanadock/jev-go,https://github.com/ksanadock/jev-go,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
ksanadock/verdict-lab,https://github.com/ksanadock/verdict-lab,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
ksenxx/kiss_ai,https://github.com/ksenxx/kiss_ai,1,"[""ckaraca/awesome-jev""]",unverified_outgoing_link_candidate
kshetrajna12/reflex,https://github.com/kshetrajna12/reflex,23,"[""BeatAPI/awesome-jev"", ""JohnDotOwl/awesome-jev"", ""KennethAshley/awesome-jev"", ""KuzanJ/awesome-jev"", ""MrJev/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""RadRebelSam/awesome-jev"", ""Zhao-Tian-yi/awesome-jev"", ""ckaraca/awesome-jev"", ""cobanov/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""jqueryscript/awesome-jev"", ""mabodx/awesome-jev"", ""oxwen11/awesome-jev"", ""punk2898/awesome-jev-verified"", ""stainlu/awesome-jev"", ""tanxarx/awesome-jev"", ""thevibeworks/awesome-typesafe-jev"", ""valentynkit/awesome-jev-typesafe"", ""wh000wh000/awesome-jev-live"", ""youzizzz1028/Awesome-Jev"", ""yzfly/awesome-jev-zh""]",unverified_outgoing_link_candidate
kspviswa/chakravyuha-jev,https://github.com/kspviswa/chakravyuha-jev,5,"[""JohnDotOwl/awesome-jev"", ""jtnkminimal/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
kspviswa/chakravyuha-oss,https://github.com/kspviswa/chakravyuha-oss,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kt3k/jevchat,https://github.com/kt3k/jevchat,3,"[""logicrw/awesome-jev-projects"", ""mabodx/awesome-jev"", ""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
kt3k/jevmaze,https://github.com/kt3k/jevmaze,2,"[""daftAI2026/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
ktaletsk/jevframe,https://github.com/ktaletsk/jevframe,9,"[""AbdelStark/awesome-typesafe-jev"", ""AppitStudio/awesome-jev"", ""MrJev/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""logicrw/awesome-jev-projects"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
ktsu2i/jevgate,https://github.com/ktsu2i/jevgate,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
ktsu2i/jevgate-action,https://github.com/ktsu2i/jevgate-action,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kuaitoukuai/jev-gaokao-eval,https://github.com/kuaitoukuai/jev-gaokao-eval,1,"[""wh000wh000/awesome-jev-live""]",unverified_outgoing_link_candidate
kubet/azdaja,https://github.com/kubet/azdaja,3,"[""logicrw/awesome-jev-projects"", ""mabodx/awesome-jev"", ""valentynkit/awesome-jev-typesafe""]",unverified_outgoing_link_candidate
kuhung/understanding-jev,https://github.com/kuhung/understanding-jev,6,"[""Omrigotlieb/awesome-jev"", ""ham-zax/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev"", ""v-modal/awesome-jev-tools"", ""yibie/awesome-jev""]",unverified_outgoing_link_candidate
kuldeepsinh19/jev-decision-gateway,https://github.com/kuldeepsinh19/jev-decision-gateway,3,"[""daftAI2026/awesome-jev"", ""logicrw/awesome-jev-projects"", ""mabodx/awesome-jev""]",unverified_outgoing_link_candidate
kunalkushwaha/jevkart,https://github.com/kunalkushwaha/jevkart,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
kunchenguid/compact-adviser,https://github.com/kunchenguid/compact-adviser,9,"[""AppitStudio/awesome-jev"", ""BeatAPI/awesome-jev"", ""MrJev/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""heyjunpenn/awesome-jev"", ""kydlikebtc/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kunchenguid/firstmate,https://github.com/kunchenguid/firstmate,4,"[""BeatAPI/awesome-jev"", ""logicrw/awesome-jev-projects"", ""onmyway133/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kunchenguid/no-mistakes,https://github.com/kunchenguid/no-mistakes,2,"[""kydlikebtc/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kunko-ai-labs/judge-audit,https://github.com/kunko-ai-labs/judge-audit,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kunobi-ninja/kunobi-jev,https://github.com/kunobi-ninja/kunobi-jev,10,"[""JohnDotOwl/awesome-jev"", ""MrJev/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev"", ""thevibeworks/awesome-typesafe-jev"", ""valentynkit/awesome-jev-typesafe""]",unverified_outgoing_link_candidate
kuri-leo/yet-another-jev,https://github.com/kuri-leo/yet-another-jev,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kurihada/pi-jev-permit,https://github.com/kurihada/pi-jev-permit,4,"[""AppitStudio/awesome-jev"", ""daftAI2026/awesome-jev"", ""oxwen11/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kurousa/jev,https://github.com/kurousa/jev,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kush614/mlforge,https://github.com/kush614/mlforge,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
kushalpatil07/jevify,https://github.com/kushalpatil07/jevify,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kushals256/jevcache,https://github.com/kushals256/jevcache,8,"[""AppitStudio/awesome-jev"", ""KennethAshley/awesome-jev"", ""dog-last/awesome-jev"", ""hellogumbo/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev"", ""supermanc417-alt/awesome-jev-hub"", ""tanxarx/awesome-jev""]",unverified_outgoing_link_candidate
kushwho/jev-codes,https://github.com/kushwho/jev-codes,6,"[""Omrigotlieb/awesome-jev"", ""RadRebelSam/awesome-jev"", ""daftAI2026/awesome-jev"", ""hellogumbo/awesome-jev"", ""mabodx/awesome-jev"", ""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kvnloo/z0int,https://github.com/kvnloo/z0int,1,"[""thevibeworks/awesome-typesafe-jev""]",unverified_outgoing_link_candidate
kvnloo/z0intelligence,https://github.com/kvnloo/z0intelligence,1,"[""stainlu/awesome-jev""]",unverified_outgoing_link_candidate
kw2828/openjev,https://github.com/kw2828/openjev,2,"[""stainlu/awesome-jev"", ""wh000wh000/awesome-jev-live""]",unverified_outgoing_link_candidate
kxzk/typesafe-jev-drone-demo,https://github.com/kxzk/typesafe-jev-drone-demo,11,"[""Frank-ZY-Dou/awesome-jev"", ""JohnDotOwl/awesome-jev"", ""Omrigotlieb/awesome-jev"", ""RadRebelSam/awesome-jev"", ""ham-zax/awesome-jev"", ""heyjunpenn/awesome-jev"", ""mabodx/awesome-jev"", ""oxwen11/awesome-jev"", ""thevibeworks/awesome-typesafe-jev"", ""v-modal/awesome-jev-tools"", ""yibie/awesome-jev""]",unverified_outgoing_link_candidate
